system,variable,present,count
TX,ind_tod,0,14
TX,ind_deathloc,1,35
TX,c_ind_fachoused,0,23
TX,c_ind_cod_type,1,40
UT,c_ind_full_name,1,32
UT,c_ind_dob_year,1,31
UT,c_ind_gender,1,30
UT,c_ind_race,1,33
UT,c_ind_ethnicity,0,13
UT,c_ind_dod_ymd,1,40
UT,ind_tod,0,14
UT,ind_deathloc,1,35
UT,c_ind_fachoused,0,23
UT,c_ind_cod_type,1,40
VA,c_ind_full_name,0,32
VA,c_ind_dob_year,1,31
VA,c_ind_gender,1,30
VA,c_ind_race,1,33
VA,c_ind_ethnicity,0,13
VA,c_ind_dod_ymd,1,40
VA,ind_tod,1,14
VA,ind_deathloc,1,35
VA,c_ind_fachoused,1,23
VA,c_ind_cod_type,1,40
VT,c_ind_full_name,1,32
VT,c_ind_dob_year,1,31
VT,c_ind_gender,1,30
VT,c_ind_race,1,33
VT,c_ind_ethnicity,0,13
VT,c_ind_dod_ymd,1,40
VT,ind_tod,0,14
VT,ind_deathloc,1,35
VT,c_ind_fachoused,1,23
VT,c_ind_cod_type,1,40
WA,c_ind_full_name,0,32
WA,c_ind_dob_year,0,31
WA,c_ind_gender,0,30
WA,c_ind_race,1,33
WA,c_ind_ethnicity,0,13
WA,c_ind_dod_ymd,1,40
WA,ind_tod,0,14
WA,ind_deathloc,1,35
WA,c_ind_fachoused,1,23
WA,c_ind_cod_type,1,40
WY,c_ind_full_name,1,32
WY,c_ind_dob_year,1,31
WY,c_ind_gender,0,30
WY,c_ind_race,1,33
WY,c_ind_ethnicity,0,13
WY,c_ind_dod_ymd,1,40
WY,ind_tod,0,14
WY,ind_deathloc,1,35
WY,c_ind_fachoused,1,23
WY,c_ind_cod_type,1,40
