"","c_system_abbr","pass_category","pass_status","pass_definition"
"128","NH","any_pr","Yes","System has released at least 1 press release for an inmate death, regardless of press release contents"
"129","NH","five_yr_prs","No","System has published at least 5 press releases per year since 2018"
"130","NH","system_data","Yes","System consistently publishes aggregate data on deaths in custody"
"131","NM","four_cod","No","System has released 1 or more press releases for at least 4/10 causes of death"
"132","NM","almost_complete","No","System consistently (in over 90% of press releases) reports at least 7/10 DCRA fields in individual inmate death reports"
"133","NM","any_pr","Yes","System has released at least 1 press release for an inmate death, regardless of press release contents"
"134","NM","five_yr_prs","No","System has published at least 5 press releases per year since 2018"
"135","NM","system_data","No","System consistently publishes aggregate data on deaths in custody"
"136","NV","four_cod","No","System has released 1 or more press releases for at least 4/10 causes of death"
"137","NV","almost_complete","No","System consistently (in over 90% of press releases) reports at least 7/10 DCRA fields in individual inmate death reports"
"138","NV","any_pr","Yes","System has released at least 1 press release for an inmate death, regardless of press release contents"
"139","NV","five_yr_prs","Yes","System has published at least 5 press releases per year since 2018"
"140","NV","system_data","Yes","System consistently publishes aggregate data on deaths in custody"
"141","OK","four_cod","No","System has released 1 or more press releases for at least 4/10 causes of death"
"142","OK","almost_complete","No","System consistently (in over 90% of press releases) reports at least 7/10 DCRA fields in individual inmate death reports"
"143","OK","any_pr","Yes","System has released at least 1 press release for an inmate death, regardless of press release contents"
"144","OK","five_yr_prs","No","System has published at least 5 press releases per year since 2018"
"145","OK","system_data","No","System consistently publishes aggregate data on deaths in custody"
"146","OR","four_cod","No","System has released 1 or more press releases for at least 4/10 causes of death"
"147","OR","almost_complete","No","System consistently (in over 90% of press releases) reports at least 7/10 DCRA fields in individual inmate death reports"
"148","OR","any_pr","Yes","System has released at least 1 press release for an inmate death, regardless of press release contents"
"149","OR","five_yr_prs","No","System has published at least 5 press releases per year since 2018"
"150","OR","system_data","Yes","System consistently publishes aggregate data on deaths in custody"
"151","PA","four_cod","Yes","System has released 1 or more press releases for at least 4/10 causes of death"
"152","PA","almost_complete","No","System consistently (in over 90% of press releases) reports at least 7/10 DCRA fields in individual inmate death reports"
"153","PA","any_pr","Yes","System has released at least 1 press release for an inmate death, regardless of press release contents"
"154","PA","five_yr_prs","Yes","System has published at least 5 press releases per year since 2018"
"155","PA","system_data","Yes","System consistently publishes aggregate data on deaths in custody"
"156","SC","four_cod","Yes","System has released 1 or more press releases for at least 4/10 causes of death"
"157","SC","almost_complete","Yes","System consistently (in over 90% of press releases) reports at least 7/10 DCRA fields in individual inmate death reports"
"158","SC","any_pr","Yes","System has released at least 1 press release for an inmate death, regardless of press release contents"
"159","SC","five_yr_prs","No","System has published at least 5 press releases per year since 2018"
"160","SC","system_data","Yes","System consistently publishes aggregate data on deaths in custody"
"161","SD","four_cod","Yes","System has released 1 or more press releases for at least 4/10 causes of death"
"162","SD","almost_complete","No","System consistently (in over 90% of press releases) reports at least 7/10 DCRA fields in individual inmate death reports"
"163","SD","any_pr","Yes","System has released at least 1 press release for an inmate death, regardless of press release contents"
"164","SD","five_yr_prs","Yes","System has published at least 5 press releases per year since 2018"
"165","SD","system_data","Yes","System consistently publishes aggregate data on deaths in custody"
"166","TN","four_cod","No","System has released 1 or more press releases for at least 4/10 causes of death"
"167","TN","almost_complete","No","System consistently (in over 90% of press releases) reports at least 7/10 DCRA fields in individual inmate death reports"
"168","TN","any_pr","Yes","System has released at least 1 press release for an inmate death, regardless of press release contents"
"169","TN","five_yr_prs","No","System has published at least 5 press releases per year since 2018"
"170","TN","system_data","Yes","System consistently publishes aggregate data on deaths in custody"
"171","TX","four_cod","No","System has released 1 or more press releases for at least 4/10 causes of death"
"172","TX","almost_complete","Yes","System consistently (in over 90% of press releases) reports at least 7/10 DCRA fields in individual inmate death reports"
"173","TX","any_pr","Yes","System has released at least 1 press release for an inmate death, regardless of press release contents"
"174","TX","five_yr_prs","No","System has published at least 5 press releases per year since 2018"
"175","TX","system_data","No","System consistently publishes aggregate data on deaths in custody"
"176","UT","four_cod","Yes","System has released 1 or more press releases for at least 4/10 causes of death"
"177","UT","almost_complete","No","System consistently (in over 90% of press releases) reports at least 7/10 DCRA fields in individual inmate death reports"
"178","UT","any_pr","Yes","System has released at least 1 press release for an inmate death, regardless of press release contents"
"179","UT","five_yr_prs","No","System has published at least 5 press releases per year since 2018"
"180","UT","system_data","Yes","System consistently publishes aggregate data on deaths in custody"
"181","VA","four_cod","No","System has released 1 or more press releases for at least 4/10 causes of death"
"182","VA","almost_complete","No","System consistently (in over 90% of press releases) reports at least 7/10 DCRA fields in individual inmate death reports"
"183","VA","any_pr","Yes","System has released at least 1 press release for an inmate death, regardless of press release contents"
"184","VA","five_yr_prs","No","System has published at least 5 press releases per year since 2018"
"185","VA","system_data","Yes","System consistently publishes aggregate data on deaths in custody"
"186","VT","four_cod","No","System has released 1 or more press releases for at least 4/10 causes of death"
"187","VT","almost_complete","No","System consistently (in over 90% of press releases) reports at least 7/10 DCRA fields in individual inmate death reports"
"188","VT","any_pr","Yes","System has released at least 1 press release for an inmate death, regardless of press release contents"
"189","VT","five_yr_prs","No","System has published at least 5 press releases per year since 2018"
"190","VT","system_data","Yes","System consistently publishes aggregate data on deaths in custody"
"191","WA","four_cod","No","System has released 1 or more press releases for at least 4/10 causes of death"
"192","WA","almost_complete","No","System consistently (in over 90% of press releases) reports at least 7/10 DCRA fields in individual inmate death reports"
"193","WA","any_pr","Yes","System has released at least 1 press release for an inmate death, regardless of press release contents"
"194","WA","five_yr_prs","No","System has published at least 5 press releases per year since 2018"
"195","WA","system_data","Yes","System consistently publishes aggregate data on deaths in custody"
"196","WY","four_cod","No","System has released 1 or more press releases for at least 4/10 causes of death"
"197","WY","almost_complete","No","System consistently (in over 90% of press releases) reports at least 7/10 DCRA fields in individual inmate death reports"
"198","WY","any_pr","Yes","System has released at least 1 press release for an inmate death, regardless of press release contents"
"199","WY","five_yr_prs","No","System has published at least 5 press releases per year since 2018"
"200","WY","system_data","No","System consistently publishes aggregate data on deaths in custody"
"201","IL","four_cod","No","System has released 1 or more press releases for at least 4/10 causes of death"
"202","IL","almost_complete","No","System consistently (in over 90% of press releases) reports at least 7/10 DCRA fields in individual inmate death reports"
"203","IL","any_pr","No","System has released at least 1 press release for an inmate death, regardless of press release contents"
"204","IL","five_yr_prs","No","System has published at least 5 press releases per year since 2018"
"205","IL","system_data","Yes","System consistently publishes aggregate data on deaths in custody"
"206","IN","four_cod","No","System has released 1 or more press releases for at least 4/10 causes of death"
"207","IN","almost_complete","No","System consistently (in over 90% of press releases) reports at least 7/10 DCRA fields in individual inmate death reports"
"208","IN","any_pr","No","System has released at least 1 press release for an inmate death, regardless of press release contents"
"209","IN","five_yr_prs","No","System has published at least 5 press releases per year since 2018"
"210","IN","system_data","Yes","System consistently publishes aggregate data on deaths in custody"
"211","ME","four_cod","No","System has released 1 or more press releases for at least 4/10 causes of death"
"212","ME","almost_complete","No","System consistently (in over 90% of press releases) reports at least 7/10 DCRA fields in individual inmate death reports"
"213","ME","any_pr","No","System has released at least 1 press release for an inmate death, regardless of press release contents"
"214","ME","five_yr_prs","No","System has published at least 5 press releases per year since 2018"
"215","ME","system_data","No","System consistently publishes aggregate data on deaths in custody"
"216","MD","four_cod","No","System has released 1 or more press releases for at least 4/10 causes of death"
"217","MD","almost_complete","No","System consistently (in over 90% of press releases) reports at least 7/10 DCRA fields in individual inmate death reports"
"218","MD","any_pr","No","System has released at least 1 press release for an inmate death, regardless of press release contents"
"219","MD","five_yr_prs","No","System has published at least 5 press releases per year since 2018"
"220","MD","system_data","No","System consistently publishes aggregate data on deaths in custody"
"221","MA","four_cod","No","System has released 1 or more press releases for at least 4/10 causes of death"
"222","MA","almost_complete","No","System consistently (in over 90% of press releases) reports at least 7/10 DCRA fields in individual inmate death reports"
"223","MA","any_pr","No","System has released at least 1 press release for an inmate death, regardless of press release contents"
"224","MA","five_yr_prs","No","System has published at least 5 press releases per year since 2018"
"225","MA","system_data","No","System consistently publishes aggregate data on deaths in custody"
"226","MI","four_cod","No","System has released 1 or more press releases for at least 4/10 causes of death"
"227","MI","almost_complete","No","System consistently (in over 90% of press releases) reports at least 7/10 DCRA fields in individual inmate death reports"
"228","MI","any_pr","No","System has released at least 1 press release for an inmate death, regardless of press release contents"
"229","MI","five_yr_prs","No","System has published at least 5 press releases per year since 2018"
"230","MI","system_data","Yes","System consistently publishes aggregate data on deaths in custody"
"231","NJ","four_cod","No","System has released 1 or more press releases for at least 4/10 causes of death"
"232","NJ","almost_complete","No","System consistently (in over 90% of press releases) reports at least 7/10 DCRA fields in individual inmate death reports"
"233","NJ","any_pr","No","System has released at least 1 press release for an inmate death, regardless of press release contents"
"234","NJ","five_yr_prs","No","System has published at least 5 press releases per year since 2018"
"235","NJ","system_data","Yes","System consistently publishes aggregate data on deaths in custody"
"236","NY","four_cod","No","System has released 1 or more press releases for at least 4/10 causes of death"
"237","NY","almost_complete","No","System consistently (in over 90% of press releases) reports at least 7/10 DCRA fields in individual inmate death reports"
"238","NY","any_pr","No","System has released at least 1 press release for an inmate death, regardless of press release contents"
"239","NY","five_yr_prs","No","System has published at least 5 press releases per year since 2018"
"240","NY","system_data","Yes","System consistently publishes aggregate data on deaths in custody"
"241","ND","four_cod","No","System has released 1 or more press releases for at least 4/10 causes of death"
"242","ND","almost_complete","No","System consistently (in over 90% of press releases) reports at least 7/10 DCRA fields in individual inmate death reports"
"243","ND","any_pr","No","System has released at least 1 press release for an inmate death, regardless of press release contents"
"244","ND","five_yr_prs","No","System has published at least 5 press releases per year since 2018"
"245","ND","system_data","Yes","System consistently publishes aggregate data on deaths in custody"
"246","OH","four_cod","No","System has released 1 or more press releases for at least 4/10 causes of death"
"247","OH","almost_complete","No","System consistently (in over 90% of press releases) reports at least 7/10 DCRA fields in individual inmate death reports"
"248","OH","any_pr","No","System has released at least 1 press release for an inmate death, regardless of press release contents"
"249","OH","five_yr_prs","No","System has published at least 5 press releases per year since 2018"
"250","OH","system_data","No","System consistently publishes aggregate data on deaths in custody"
"251","PR","four_cod","No","System has released 1 or more press releases for at least 4/10 causes of death"
"252","PR","almost_complete","No","System consistently (in over 90% of press releases) reports at least 7/10 DCRA fields in individual inmate death reports"
"253","PR","any_pr","No","System has released at least 1 press release for an inmate death, regardless of press release contents"
"254","PR","five_yr_prs","No","System has published at least 5 press releases per year since 2018"
"255","PR","system_data","Yes","System consistently publishes aggregate data on deaths in custody"
"256","RI","four_cod","No","System has released 1 or more press releases for at least 4/10 causes of death"
"257","RI","almost_complete","No","System consistently (in over 90% of press releases) reports at least 7/10 DCRA fields in individual inmate death reports"
"258","RI","any_pr","No","System has released at least 1 press release for an inmate death, regardless of press release contents"
"259","RI","five_yr_prs","No","System has published at least 5 press releases per year since 2018"
"260","RI","system_data","Yes","System consistently publishes aggregate data on deaths in custody"
"261","WV","four_cod","No","System has released 1 or more press releases for at least 4/10 causes of death"
"262","WV","almost_complete","No","System consistently (in over 90% of press releases) reports at least 7/10 DCRA fields in individual inmate death reports"
"263","WV","any_pr","No","System has released at least 1 press release for an inmate death, regardless of press release contents"
"264","WV","five_yr_prs","No","System has published at least 5 press releases per year since 2018"
"265","WV","system_data","Yes","System consistently publishes aggregate data on deaths in custody"
"266","WI","four_cod","No","System has released 1 or more press releases for at least 4/10 causes of death"
"267","WI","almost_complete","No","System consistently (in over 90% of press releases) reports at least 7/10 DCRA fields in individual inmate death reports"
"268","WI","any_pr","No","System has released at least 1 press release for an inmate death, regardless of press release contents"
"269","WI","five_yr_prs","No","System has published at least 5 press releases per year since 2018"
"270","WI","system_data","Yes","System consistently publishes aggregate data on deaths in custody"
