c_system_abbr,facility,n,best_guesses,c_facility_name
AL,ALEX CITY (WR),152,TALLADEGA FCI,ALEX CITY Community Based Facility
AL,CHILDERSBURG (WC),152,TALLADEGA FCI,CHILDERSBURG COMMUNITY Based Facility
AL,ELBA (WC),152,TALLADEGA FCI,ELBA COMMUNITY Based Facility
AL,ELBA (WR),152,TALLADEGA FCI,ELBA COMMUNITY Based Facility
AL,HAMILTON A/I,152,TALLADEGA FCI,HAMILTON AGED & INFIRMED
AL,RED EAGLE (WC),152,RED EAGLE WORK CENTER,RED EAGLE WORK CENTER
AL,STATON,152,"TUTWILER ANNEX, MONTGOMERY FPC, TALLADEGA FCI",STATON CORRECTIONAL FACILITY
AL,ELMORE,151,TALLADEGA FCI,ELMORE CORRECTIONAL FACILITY
AL,VENTRESS,151,MONTGOMERY FPC,VENTRESS CORRECTIONAL FACILITY
AL,BULLOCK,150,TALLADEGA FCI,BULLOCK CORRECTIONAL FACILITY
AL,TUTWILER,150,TUTWILER ANNEX,Tutwiler Annex
AL,DONALDSON,149,"TUTWILER ANNEX, MONTGOMERY FPC, TALLADEGA FCI, BIRMINGHAM CCC",DONALDSON CORRECTIONAL FACILITY
MI,WOODLAND CENTER,146,MILAN FCI,WOODLAND CENTER CORRECTIONAL FACILITY
AL,MONTGOMERY,144,MONTGOMERY FPC,MONTGOMERY FPC
AL,CAMDEN (WC),139,TALLADEGA FCI,CAMDEN COMMUNITY Based Facility
AL,CHILDERSBUG (WR),138,"TALLADEGA FCI, TALLADEGA - CAMP",CHILDERSBURG COMMUNITY Based Facility
AL,FRANK LEE (WR),135,FRANK LEE WORK RELEASE,FRANK LEE Work Release
AL,FOUNTAIN,134,"TUTWILER ANNEX, MONTGOMERY FPC, TALLADEGA FCI, BIRMINGHAM CCC",FOUNTAIN CORRECTIONAL FACILITY
AL,LOXLEY (WR),133,"TUTWILER ANNEX, MONTGOMERY FPC, TALLADEGA FCI",LOXLEY COMMUNITY WORK CENTER
AL,EASTERLING,132,"TUTWILER ANNEX, MONTGOMERY FPC, TALLADEGA FCI",EASTERLING CORRECTIONAL FACILITY
AL,HAMILTON (WR),132,"TUTWILER ANNEX, TALLADEGA FCI, BIRMINGHAM CCC",HAMILTON COMMUNITY Based Facility
AL,KILBY,132,"TUTWILER ANNEX, TALLADEGA FCI",KILBY CORRECTIONAL FACILITY
AL,ST. CLAIR,132,"TUTWILER ANNEX, TALLADEGA FCI",ST. CLAIR CORRECTIONAL FACILITY
AL,MOBILE (WR),131,TUTWILER ANNEX,MOBILE COMMUNITY WORK CENTER
AL,TUTWILER ANNEX,131,TUTWILER ANNEX,TUTWILER ANNEX
FL,RMC - MAIN UNIT,126,R.M.C.- WEST UNIT,NA
MI,CENTRAL MICHIGAN,121,"MILAN FCI, HEARTLINE, INC",CENTRAL MICHIGAN CORRECTIONAL FACILITY
MI,PUGSLEY CORRECTIONAL FACILITY,120,PUGSLEY CORRECTIONAL FACILITY,PUGSLEY CORRECTIONAL FACILITY
AL,DRAPER,118,"TUTWILER ANNEX, TALLADEGA FCI",DRAPER CORRECTIONAL FACILITY
AL,JO DAVIS,116,TALLADEGA FCI,J. O. Davis Correctional Facility
AL,DECATUR (WC),113,TALLADEGA FCI,DECATUR COMMUNITY Based Facility
AL,ATMORE (WC),112,"MONTGOMERY FPC, TALLADEGA FCI",ATMORE COMMUNITY WORK CENTER
AL,DECATUR (WR),109,"TUTWILER ANNEX, TALLADEGA FCI",DECATUR COMMUNITY Based Facility
NA,DADE CI,106,NA,NA
NA,CFRC,105,NA,NA
DE,JAMES T. VAUGHN CORRECTIONAL CENTER,75,JAMES T. VAUGHN CORRECTIONAL CENTER,JAMES T. VAUGHN CORRECTIONAL CENTER
MI,RYAN CORRECTIONAL FACILITY,71,RYAN CORRECTIONAL FACILITY,RYAN CORRECTIONAL FACILITY
NA,UNION CI,64,NA,NA
MI,DETROIT RENTRY CENTER,62,GREAT LAKES RECOVERY CENTER,RYAN CORRECTIONAL FACILITY
NA,WAKULLA CI,61,NA,NA
MI,FLORENCE CRANE CORRECTIONAL FACILITY,60,LAKELAND CORRECTIONAL FACILITY,NA
MI,MOUND CORRECTIONAL FACILITY,60,"IONIA CORRECTIONAL FACILITY, THUMB CORRECTIONAL FACILITY, OAKS CORRECTIONAL FACILITY, RYAN CORRECTIONAL FACILITY",NA
NA,SANTA ROSA CI,59,NA,NA
CA,"CA STATE PRISON, SAN QUENTIN",57,"CALIFORNIA STATE PRISON, SACRAMENTO",SAN QUENTIN STATE PRISON
NA,COLUMBIA CI,57,NA,NA
NA,SUWANNEE CI,57,NA,NA
AZ,ASPC-PHOENIX,54,ASPC-PHOENIX,ASPC-PHOENIX
AZ,ASPC-PERRYVILLE,53,ASPC - PERRYVILLE,NA
AL,BULLOCK MH,50,TALLADEGA FCI,BULLOCK CORRECTIONAL FACILITY
AZ,ASPC-YUMA,50,ASPC-YUMA,ASPC-YUMA
AL,CATTLE RANCH,49,"TUTWILER ANNEX, FARQUHAR CATTLE RANCH",FARQUHAR CATTLE RANCH
AL,DORM 6 & 7,49,"MONTGOMERY FPC, BIRMINGHAM CCC",NA
NA,BLACKWATER CF,49,NA,NA
NA,NWFRC,49,NA,NA
MI,MID-MICHIGAN CORRECTIONAL FACILITY,48,CENTRAL MICHIGAN CORRECTIONAL FACILITY,CENTRAL MICHIGAN CORRECTIONAL FACILITY
MI,PINE RIVER CORRECTIONAL FACILITY,48,KINROSS CORRECTIONAL FACILITY,CENTRAL MICHIGAN CORRECTIONAL FACILITY
NA,ZEPHYRHILLS CI,47,NA,NA
AL,NORTH ALABAMA (WC),42,TALLADEGA FCI,DECATUR COMMUNITY Based Facility
NA,OKEECHOBEE CI,42,NA,NA
NA,AVON PARK CI,40,NA,NA
NA,GRACEVILLE CF,39,NA,NA
NA,SOUTH BAY CF,39,NA,NA
NA,EVERGLADES CI,37,NA,NA
MI,BOYER ROAD CORRECTIONAL FACILITY,36,BARAGA CORRECTIONAL FACILITY,CARSON CITY CORRECTIONAL FACILITY
MI,CAMP BRANCH,36,"MILAN FCI, CTC WEST",NA
MI,CAMP CUSINO,36,CTC WEST,NA
MI,CAMP KITWEN,36,CTC WEST,NA
MI,CAMP LEHMAN,36,CTC WEST,NA
MI,CAMP OTTAWA,36,CTC WEST,NA
MI,CAMP VALLEY,36,CTC WEST,NA
MI,CAMP WHITE LAKE,36,CTC WEST,NA
MI,DEERFIELD CORRECTIONAL FACILITY,36,PARNALL CORRECTIONAL FACILITY,NA
MI,HIAWATHA CORRECTIONAL FACILITY,36,BARAGA CORRECTIONAL FACILITY,NA
MI,HURON VALLEY COMPLEX - MEN'S,36,GREAT LAKES RECOVERY CENTER,HURON VALLEY CORRECTIONAL FACILITY - WOMEN
MI,PARR HIGHWAY CORRECTIONAL FACILITY,36,"OJIBWAY CORRECTIONAL FACILITY, BARAGA CORRECTIONAL FACILITY",NA
MI,ROBERT SCOTT CORRECTIONAL FACILITY,36,G. ROBERT COTTON CORRECTIONAL FACILITY,NA
MI,STANDISH MAXIMUM CORRECTIONAL FACILITY,36,"ST. LOUIS CORRECTIONAL FACILITY, SAGINAW CORRECTIONAL FACILITY",NA
MI,STRAITS CORRECTIONAL FACILITY,36,"BARAGA CORRECTIONAL FACILITY, OAKS CORRECTIONAL FACILITY",CHIPPEWA CORRECTIONAL FACILITY
CA,"CA STATE PRISON, SACRAMENTO",33,"CALIFORNIA STATE PRISON, SACRAMENTO","CALIFORNIA STATE PRISON, SACRAMENTO"
NA,LAKE CI,33,NA,NA
NA,LOWELL CI,33,NA,NA
NA,TOMOKA CI,32,NA,NA
IA,NA,30,LUSTER HEIGHTS,NA
NA,CENTURY CI,29,NA,NA
NA,HAMILTON CI,29,NA,NA
CA,KERN VALLEY STATE PRISON,27,KERN VALLEY STATE PRISON,KERN VALLEY STATE PRISON
NA,MARTIN CI,27,NA,NA
NA,CHARLOTTE CI,26,NA,NA
NA,SUMTER CI,26,NA,NA
NA,TAYLOR CI,26,NA,NA
CA,HIGH DESERT STATE PRISON,25,HIGH DESERT STATE PRISON,HIGH DESERT STATE PRISON
GA,GEORGIA DIAGNOSTIC AND CLASSIFICATION STATE PRISON,25,GEORGIA DIAGNOSTIC AND CLASSIFICATION STATE PRISON,GEORGIA DIAGNOSTIC AND CLASSIFICATION STATE PRISON
MT,MONTANA STATE PRISON,25,MONTANA STATE PRISON,MONTANA STATE PRISON
BOP,SPRINGFIELD MCFP,24,NA,NA
NA,GULF CI,24,NA,NA
MI,DETROIT DETENTION CENTER,23,"GREAT LAKES RECOVERY CENTER, HEARTLINE, INC",NA
NA,FLORIDA STATE PRISON,23,NA,NA
NA,CROSS CITY CI,22,NA,NA
NA,LIBERTY CI,22,NA,NA
AL,NORTH ALABAMA (WR),21,TALLADEGA FCI,DECATUR COMMUNITY Based Facility
AZ,ASP-KINGMAN,21,ASPC-EYMAN,NA
NA,JEFFERSON CI,21,NA,NA
BOP,BUTNER LOW FCI,20,NA,NA
BOP,FORT WORTH FMC,20,NA,NA
NA,HARDEE CI,20,NA,NA
NA,JACKSON CI,20,NA,NA
NA,MOORE HAVEN CF,20,NA,NA
AZ,CENTRAL ARIZONA CORRECTIONAL FACILITY,19,ASP - CENTRAL ARIZONA CORRECTIONAL FACILITY,NA
BOP,DEVENS FMC,19,NA,NA
NA,MADISON CI,19,NA,NA
GA,VALDOSTA STATE PRISON,18,VALDOSTA STATE PRISON,VALDOSTA STATE PRISON
NA,HOLMES CI,18,NA,NA
IA,IOWA MEDICAL AND CLASSIFICATION CENTER,17,IOWA MEDICAL & CLASSIFICATION CENTER,IOWA MEDICAL & CLASSIFICATION CENTER
ID,IDAHO STATE CORRECTIONAL INSTITUTION,17,IDAHO STATE CORRECTIONAL INSTITUTION,IDAHO STATE CORRECTIONAL INSTITUTION
NC,CENTRAL PRISON,17,CENTRAL PRISON,CENTRAL PRISON
TN,RIVERBEND MAXIMUM SECURITY INSTITUTION,17,RIVERBEND MAXIMUM SECURITY INSTITUTION,RIVERBEND MAXIMUM SECURITY INSTITUTION
NA,CALHOUN CI,17,NA,NA
CA,CA STATE PRISON CORCORAN,16,VALLEY STATE PRISON FOR WOMEN,CONCORAN STATE PRISON
DE,HOWARD R. YOUNG CORRECTIONAL INSTITUTION,16,HOWARD R. YOUNG CORRECTIONAL INSTITUTION,HOWARD R. YOUNG CORRECTIONAL INSTITUTION
ID,IDAHO MAXIMUM SECURITY INSTITUTION,16,IDAHO MAXIMUM SECURITY INSTITUTION,IDAHO MAXIMUM SECURITY INSTITUTION
OR,TWO RIVERS CORRECTIONAL INSTITUTION,16,TWO RIVERS CORRECTIONAL INSTITUTION,TWO RIVERS CORRECTIONAL INSTITUTION
TN,MORGAN COUNTY CORRECTIONAL COMPLEX (MCCX),16,MORGAN COUNTY CORRECTIONAL COMPLEX,MORGAN COUNTY CORRECTIONAL COMPLEX
NA,FRANKLIN CI,16,NA,NA
NA,MARION CI,16,NA,NA
AZ,LA PALMA CORRECTIONAL CENTER,15,LA PALMA CORRECTIONAL CENTER - CCA,NA
NE,RTC,15,WORK ETHIC CAMP - MCCOOK,NA
TN,LOIS M. DERRY SPECIAL NEEDS (DSNF/SPND),15,LOIS M. DEBERRY SPECIAL NEEDS FACILITY,LOIS M. DEBERRY SPECIAL NEEDS FACILITY
TN,NORTHEAST CORRECTIONAL COMPLEX (NECX),15,NORTHEAST CORRECTIONAL COMPLEX - ANNEX,NORTHEAST CORRECTIONAL COMPLEX
TN,NORTHWEST CORRECTIONAL COMPLEX (NWCX),15,NORTHWEST CORRECTIONAL COMPLEX,NORTHWEST CORRECTIONAL COMPLEX
TN,RIVERBEND MAXIMUM SECURITY (RMSI),15,RIVERBEND MAXIMUM SECURITY INSTITUTION,RIVERBEND MAXIMUM SECURITY INSTITUTION
TN,TENNESSEE PRISON FOR WOMEN (TPFW),15,TENNESSEE PRISON FOR WOMEN,TENNESSEE PRISON FOR WOMEN
TN,TURNEY CENTER INDUSTRIAL COMPLEX (TCIX),15,"TURNEY CENTER INDUSTRIAL COMPLEX, TURNEY CENTER INDUSTRIAL COMPLEX - ANNEX",TURNEY CENTER INDUSTRIAL COMPLEX
TN,WEST TENNESSEE STATE PENITENTIARY (WTSP),15,WEST TENNESSEE STATE PENITENTIARY,WEST TENNESSEE STATE PENITENTIARY
NA,WALTON CI,15,NA,NA
CA,SALINAS VALLEY STATE PRISON,14,SALINAS VALLEY STATE PRISON,SALINAS VALLEY STATE PRISON
DE,SUSSEX CORRECTIONAL INSTITUTION,14,SUSSEX CORRECTIONAL INSTITUTION,SUSSEX CORRECTIONAL INSTITUTION
TN,HARDEMAN COUNTY CORRECTIONAL FACILITY (HCCF),14,HARDEMAN COUNTY CORRECTIONAL CENTER-CCA,HARDEMAN COUNTY CORRECTIONAL CENTER-CCA
TN,SOUTH CENTRAL CORRECTIONAL FACILITY (SCCF/SCCC),14,SOUTH CENTRAL CORRECTIONAL CENTER,SOUTH CENTRAL CORRECTIONAL CENTER
TN,WHITEVILLE CORRECTIONAL FACILITY (WCFA),14,WHITEVILLE CORRECTIONAL FACILITY - CCA,WHITEVILLE CORRECTIONAL FACILITY - CCA
WY,WYOMING MEDIUM CORRECTIONAL INSTITUTION,14,WYOMING MEDIUM CORRECTIONAL INSTITUTION,WYOMING MEDIUM CORRECTIONAL INSTITUTION
NA,DESOTO ANNEX,14,NA,NA
BOP,TERMINAL ISLAND FCI,13,NA,NA
BOP,TERRE HAUTE USP,13,NA,NA
BOP,TUCSON USP,13,NA,NA
DC,DC JAIL,13,"HOPE VILLAGE, INC",NA
FL,SFRC,13,MIAMI FCI,NA
FL,UNION CI,13,MIAMI FCI,NA
TN,MARK LUTTRELL TRANSITION CENTER (MLTC/MLRC),13,MARK LUTTRELL CORRECTIONAL CENTER,MARK LUTTRELL CORRECTIONAL CENTER
UT,UTAH STATE PRISON (DRAPER STATE PRISON),13,DRAPER STATE PRISON,NA
AZ,ASPC-WINSLOW,12,ASPC-WINSLOW,ASPC-WINSLOW
FL,SUWANNEE CI,12,SUWANNEE ANNEX,NA
MI,CAMP BRIGHTON,12,CTC WEST,NA
MI,CAMP MANTISQUE,12,"MILAN FCI, CTC WEST",NA
MI,RIVERSIDE CORRECTIONAL FACILITY,12,"KINROSS CORRECTIONAL FACILITY, LAKELAND CORRECTIONAL FACILITY, IONIA CORRECTIONAL FACILITY, ALGER CORRECTIONAL FACILITY",NA
MI,SOUTHERN MICHIGAN CORRECTIONAL FACILITY,12,CENTRAL MICHIGAN CORRECTIONAL FACILITY,NA
PA,CAMP HILL​,12,SCI CAMP HILL,NA
TN,BLEDSOE COUNTY CORRECTIONAL (BCCX),12,MORGAN COUNTY CORRECTIONAL COMPLEX,Southeastern Tennessee State Regional Correctional Facility
VT,SOUTHERN STATE CORRECTIONAL FACILITY,12,SOUTHERN STATE CORRECTIONAL FACILITY,SOUTHERN STATE CORRECTIONAL FACILITY
NA,BAKER CI,12,NA,NA
NA,OKALOOSA CI,12,NA,NA
BOP,LEXINGTON FMC,11,NA,NA
CA,MULE CREEK STATE PRISON,11,MULE CREEK STATE PRISON,MULE CREEK STATE PRISON
FL,DADE CI,11,MIAMI FCI,DADE CORRECTIONAL INSTITUTION
NC,MAURY CORRECTIONAL INSTITUTION,11,MAURY CORRECTIONAL INSTITUTION,MAURY CORRECTIONAL INSTITUTION
NE,TSCI,11,WORK ETHIC CAMP - MCCOOK,NA
PA,​BENNER TOWNSHIP,11,SCI COAL TOWNSHIP,NA
PA,​PHOENIX,11,SCI MUNCY,NA
NA,MAYO ANNEX,11,NA,NA
AK,GOOSE CREEK CORRECTIONAL FACILITY,10,LEMON CREEK CORRECTIONAL CENTER,NA
AR,EAST ARKANSAS REGIONAL UNIT,10,EAST ARKANSAS REGIONAL UNIT,EAST ARKANSAS REGIONAL UNIT
BOP,BUTNER MEDIUM I FCI,10,NA,NA
FL,CFRC,10,MIAMI FCI,NA
FL,ZEPHYRHILLS CI,10,"MIAMI FCI, MARIANNA FCI, COLEMAN LOW FCI",NA
IA,ANAMOSA STATE PENITENTIARY,10,ANAMOSA STATE PENITENTIARY,ANAMOSA STATE PENITENTIARY
IA,THE IOWA MEDICAL AND CLASSIFICATION CENTER,10,IOWA MEDICAL & CLASSIFICATION CENTER,NA
NC,ALEXANDER CORRECTIONAL INSTITUTION,10,ALEXANDER CORRECTIONAL INSTITUTION,ALEXANDER CORRECTIONAL INSTITUTION
NC,SCOTLAND CORRECTIONAL INSTITUTION,10,SCOTLAND CORRECTIONAL INSTITUTION,SCOTLAND CORRECTIONAL INSTITUTION
PA,​HOUTZDALE,10,SCI HOUTZDALE,NA
PA,​ROCKVIEW,10,SCI ROCKVIEW,NA
AL,MONTGOMERY (WC),9,MONTGOMERY FPC,MONTGOMERY FPC
AL,MONTGOMERY (WR),9,MONTGOMERY FPC,MONTGOMERY FPC
BOP,ELKTON FCI,9,NA,NA
CA,CA MEDICAL FACILITY,9,CALIFORNIA MEDICAL FACILITY,CALIFORNIA MEDICAL FACILITY
FL,SUWANNEE CI ANNEX,9,SUWANNEE ANNEX,NA
HI,HALAWA CORRECTIONAL FACILITY,9,HALAWA CORRECTIONAL FACILITY,HALAWA CORRECTIONAL FACILITY
IA,THE ANAMOSA STATE PENITENTIARY,9,ANAMOSA STATE PENITENTIARY,NA
NC,BERTIE CORRECTIONAL INSTITUTION,9,BERTIE CORRECTIONAL INSTITUTION,BERTIE CORRECTIONAL INSTITUTION
TN,CHARLES BASS CORRECTIONAL COMPLEX (CBCX) - CLOSED,9,CHARLES B. BASS CORRECTIONAL COMPLEX,CHARLES B. BASS CORRECTIONAL COMPLEX
NA,BAY CF,9,NA,NA
AK,ANCHORAGE CORRECTIONAL COMPLEX/WEST,8,ANCHORAGE CORRECTIONAL COMPLEX/WEST,ANCHORAGE CORRECTIONAL COMPLEX/WEST
AR,OUACHITA RIVER UNIT,8,OUACHITA RIVER UNIT,OUACHITA RIVER UNIT
BOP,CARSWELL FMC,8,NA,NA
BOP,SEAGOVILLE FCI,8,NA,NA
CA,"CA STATE PRISON, LA COUNTY",8,VALLEY STATE PRISON FOR WOMEN,LOS ANGELES COUNTY STATE PRISON
CA,NORTH KERN STATE PRISON,8,NORTH KERN STATE PRISON,NORTH KERN STATE PRISON
FL,APALACHEE EAST UNIT,8,APALACHEE WEST UNIT,NA
GA,MACON STATE PRISON,8,MACON STATE PRISON,MACON STATE PRISON
PA,​HUNTINGDON,8,SCI HUNTINGDON,NA
NA,POLK CI,8,NA,NA
AZ,ASPC-DOUGLAS,7,ASPC-DOUGLAS,ASPC-DOUGLAS
BOP,OAKDALE I FCI,7,NA,NA
CA,CALIFORNIA HEALTH CARE FACILITY,7,CALIFORNIA MEDICAL FACILITY,CALIFORNIA MEDICAL FACILITY
CA,CENTINELA STATE PRISON,7,CENTINELA STATE PRIOSN,NA
CA,R.J. DONOVAN CORR. FAC. ROCK MTN.,7,R. J. DONOVAN CORRECTIONAL FACILITY,R. J. DONOVAN CORRECTIONAL FACILITY
CA,SUBSTANCE ABUSE TREATMENT FACILITY,7,CORRECTIONAL TRAINING FACILITY,CALIFORNIA SUBSTANCE ATF - CORCORAN
SC,BROAD RIVER CORRECTIONAL INSTITUTION,7,BROAD RIVER CORRECTIONAL INSTITUTION,BROAD RIVER CORRECTIONAL INSTITUTION
AZ,RED ROCK CORRECTIONAL CENTER,6,RED ROCK CORRECTIONAL CENTER - CCA,NA
BOP,ASHLAND FCI,6,NA,NA
BOP,BUTNER FMC,6,NA,NA
BOP,LEAVENWORTH USP,6,NA,NA
BOP,TALLADEGA FCI,6,NA,NA
BOP,TERRE HAUTE FCI,6,NA,NA
CA,CA CORRECTIONAL INSTITUTION,6,CALIFORNIA CORRECTIONAL INSTITUTION,CALIFORNIA CORRECTIONAL CENTER
FL,WAKULLA CI,6,WAKULLA ANNEX,WAKULLA CORRECTIONAL INSTITUTION
GA,BALDWIN STATE PRISON,6,BALDWIN STATE PRISON,BALDWIN STATE PRISON
GA,COASTAL STATE PRISON,6,COASTAL STATE PRISON,COASTAL STATE PRISON
GA,GEORGIA STATE PRISON,6,GEORGIA STATE PRISON,GEORGIA STATE PRISON
GA,TELFAIR STATE PRISON,6,TELFAIR STATE PRISON,TELFAIR STATE PRISON
IA,IOWA STATE PENITENTIARY,6,IOWA STATE PENITENTIARY,IOWA STATE PENITENTIARY
NC,NEUSE CORRECTIONAL INSTITUTION,6,NEUSE CORRECTIONAL INSTITUTION,NEUSE CORRECTIONAL INSTITUTION
NC,PENDER CORRECTIONAL INSTITUTION,6,PENDER CORRECTIONAL INSTITUTION,PENDER CORRECTIONAL INSTITUTION
PA,​COAL TOWNSHIP,6,SCI COAL TOWNSHIP,NA
PA,​GREENE,6,SCI GREENE,NA
PA,​SOMERSET,6,SCI SOMERSET,NA
SC,LEE CORRECTIONAL INSTITUTION,6,LEE CORRECTIONAL INSTITUTION,LEE CORRECTIONAL INSTITUTION
WA,AIRWAY HEIGHTS CORRECTIONAL CENTER,6,AIRWAY HEIGHTS CORRECTIONAL CENTER,AIRWAY HEIGHTS CORRECTIONAL CENTER
BOP,BUTNER MEDIUM II FCI,5,NA,NA
BOP,COLEMAN MEDIUM FCI,5,NA,NA
BOP,LOMPOC FCI,5,NA,NA
BOP,WILLIAMSBURG FCI,5,NA,NA
CA,CA INSTITUTION FOR MEN,5,CALIFORNIA INSTITUTION FOR MEN,CALIFORNIA INSTITUTION FOR MEN
CA,CALIPATRIA STATE PRISON,5,CALIPATRIA STATE PRISON,CALIPATRIA STATE PRISON
CA,CORRECTIONAL TRAINING FACILITY,5,CORRECTIONAL TRAINING FACILITY,CORRECTIONAL TRAINING FACILITY
CA,WASCO STATE PRISON,5,FOLSOM STATE PRISON,WASCO STATE PRISON-RECEPTION CENTER
FL,CHARLOTTE CI,5,MARIANNA FCI,NA
FL,EVERGLADES CI,5,MARIANNA FCI,NA
FL,OKEECHOBEE CI,5,"TALLAHASSEE FCI, COLEMAN MED FCI",NA
IA,THE IOWA STATE PENITENTIARY,5,IOWA STATE PENITENTIARY,NA
KS,HUTCHINSON CORRECTIONAL FACILITY,5,HUTCHINSON CORRECTIONAL FACILITY,HUTCHINSON CORRECTIONAL FACILITY
KS,LANSING CORRECTIONAL FACILITY,5,LANSING CORRECTIONAL FACILITY,LANSING CORRECTIONAL FACILITY
MN,MINNESOTA CORRECTIONAL FACILITY-FARIBAULT,5,MINNESOTA CORRECTIONAL FACILITY-FARIBAULT,MINNESOTA CORRECTIONAL FACILITY-FARIBAULT
NC,NASH CORRECTIONAL INSTITUTION,5,NASH CORRECTIONAL INSTITUTION,NASH CORRECTIONAL INSTITUTION
NC,PIEDMONT CORRECTIONAL INSTITUTION,5,PIEDMONT CORRECTIONAL INSTITUTION,PIEDMONT CORRECTIONAL INSTITUTION
NH,NEW HAMPSHIRE STATE PRISON FOR MEN,5,NEW HAMPSHIRE STATE PRISON FOR MEN,NEW HAMPSHIRE STATE PRISON FOR MEN
OR,OREGON STATE PENITENTIARY - MAIN,5,OREGON STATE PENITENTIARY - MAIN,OREGON STATE PENITENTIARY - MAIN
PA,​ALBION,5,SCI ALBION,NA
PA,​DALLAS,5,SCI DALLAS,NA
PA,​MUNCY,5,SCI MUNCY,NA
PA,​SMITHFIELD,5,SCI SMITHFIELD,NA
