"","c_system_abbr","c_ind_cod_type","n","percent"
"120","PA","Natural",3,2.34375
"121","PA","Pending",5,3.90625
"122","PA","Suicide",10,7.8125
"123","PA","Unknown",93,72.65625
"124","SC","COVID-19",1,2.77777777777778
"125","SC","Drug / Alcohol",4,11.1111111111111
"126","SC","Homicide",13,36.1111111111111
"127","SC","Suicide",15,41.6666666666667
"128","SC","Unknown",3,8.33333333333333
"129","SD","COVID-19",2,1.05820105820106
"130","SD","Homicide",3,1.58730158730159
"131","SD","Natural",80,42.3280423280423
"132","SD","Pending",52,27.5132275132275
"133","SD","Suicide",24,12.6984126984127
"134","SD","Unintentional non-Drug Injury",1,0.529100529100529
"135","SD","Unknown",27,14.2857142857143
"136","TN","Execution",7,35
"137","TN","Homicide",1,5
"138","TN","Natural",9,45
"139","TN","Pending",1,5
"140","TN","Unknown",2,10
"141","TX","Execution",180,100
"142","UT","COVID-19",1,5.55555555555556
"143","UT","Homicide",8,44.4444444444444
"144","UT","Natural",2,11.1111111111111
"145","UT","Suicide",2,11.1111111111111
"146","UT","Unknown",5,27.7777777777778
"147","VA","COVID-19",3,23.0769230769231
"148","VA","Drug / Alcohol",2,15.3846153846154
"149","VA","Homicide",6,46.1538461538462
"150","VA","Unknown",2,15.3846153846154
"151","VT","Pending",2,9.09090909090909
"152","VT","Suicide",4,18.1818181818182
"153","VT","Unknown",16,72.7272727272727
"154","WA","COVID-19",14,87.5
"155","WA","Homicide",1,6.25
"156","WA","Unknown",1,6.25
"157","WY","Unknown",29,100
